name,value,year,lastValue,rank
Tyreek Hill,35.3,1,35.3,1
Alvin Kamara,34.1,1,34.1,2
James Conner,29.2,1,29.2,3
DeSean Jackson,26.6,1,26.6,4
Kenny Stills,22.6,1,22.6,5
Isaiah Crowell,22.2,1,22.2,6
Michael Thomas,22,1,22,7
Joe Mixon,20.9,1,20.9,8
Mike Evans,20.7,1,20.7,9
Todd Gurley,20.7,1,20.7,10
Adrian Peterson,20.6,1,20.6,11
Jay Ajayi,20.2,1,20.2,12
Randall Cobb,20.2,1,20.2,13
Emmanuel Sanders,19.5,1,19.5,14
Saquon Barkley,18.8,1,18.8,15
Chris Thompson,18.8,1,18.8,16
Austin Ekeler,18.6,1,18.6,17
Melvin Gordon,18.6,1,18.6,18
Jared Cook,18,1,18,19
Julio Jones,18,1,18,20
Dion Lewis,17,1,17,21
Keenan Allen,16.8,1,16.8,22
Will Dissly,16.5,1,16.5,23
Rob Gronkowski,16.3,1,16.3,24
Phillip Lindsay,16.2,1,16.2,25
Antonio Brown,15.3,1,15.3,26
Ted Ginn,15.3,1,15.3,27
Davante Adams,14.8,1,14.8,28
Ezekiel Elliott,14.6,1,14.6,29
Golden Tate,13.9,1,13.9,30
A.J. Green,13.2,1,13.2,31
Geronimo Allison,12.9,1,12.9,32
T.J. Yeldon,12.9,1,12.9,33
Cooper Kupp,12.8,1,12.8,34
David Johnson,12.7,1,12.7,35
Phillip Dorsett,12.6,1,12.6,36
Carlos Hyde,12.5,1,12.5,37
Quincy Enunwa,12.3,1,12.3,38
Demaryius Thomas,12.3,1,12.3,39
Dante Pettis,12.1,1,12.1,40
Tyler Lockett,11.9,1,11.9,41
JuJu Smith-Schuster,11.9,1,11.9,42
James White,11.6,1,11.6,43
Kenny Golladay,11.4,1,11.4,44
Stefon Diggs,11.1,1,11.1,45
Eric Ebron,11.1,1,11.1,46
Odell Beckham,11,1,11,47
Marshawn Lynch,10.9,1,10.9,48
Lamar Miller,10.9,1,10.9,49
Willie Snead,10.9,1,10.9,50
Jordan Reed,10.8,1,10.8,51
Jordan Howard,10.7,1,10.7,52
T.Y. Hilton,10.6,1,10.6,53
Jarvis Landry,10.6,1,10.6,54
Brandon Marshall,10.6,1,10.6,55
John Brown,10.5,1,10.5,56
Tevin Coleman,10.5,1,10.5,57
Kenneth Dixon,10.4,1,10.4,58
Adam Thielen,10.2,1,10.2,59
Chris Godwin,10.1,1,10.1,60
