name,value,year,lastValue,rank
Jason Witten,154.2,2010,154.2,1
Antonio Gates,138.2,2010,138.2,2
Vernon Davis,135.4,2010,135.4,3
Marcedes Lewis,126,2010,126,4
Rob Gronkowski,112.6,2010,112.6,5
Kellen Winslow,103,2010,103,6
Chris Cooley,102.9,2010,102.9,7
Tony Gonzalez,101.6,2010,101.6,8
Dustin Keller,98.7,2010,98.7,9
Zach Miller,98.5,2010,98.5,10
Aaron Hernandez,97,2010,97,11
Brandon Pettigrew,96.2,2010,96.2,12
Ben Watson,94.2,2010,94.2,13
Todd Heap,89.9,2010,89.9,14
Kevin Boss,81.1,2010,81.1,15
Anthony Fasano,76.8,2010,76.8,16
Brent Celek,75.1,2010,75.1,17
Joel Dreessen,73.8,2010,73.8,18
Tony Moeaki,73.6,2010,73.6,19
Jermaine Gresham,71.1,2010,71.1,20
Greg Olsen,68.4,2010,68.4,21
Jimmy Graham,65.9,2010,65.9,22
Visanthe Shiancoe,65,2010,65,23
Heath Miller,61.2,2010,61.2,24
Jacob Tamme,60.9,2010,60.9,25
Owen Daniels,59.1,2010,59.1,26
Jeremy Shockey,58.8,2010,58.8,27
Bo Scaife,53.8,2010,53.8,28
Dallas Clark,52.7,2010,52.7,29
Daniel Fells,51.1,2010,51.1,30
Jared Cook,42.1,2010,42.1,31
Tony Scheffler,41.8,2010,41.8,32
Fred Davis,41.6,2010,41.6,33
John Carlson,37.8,2010,37.8,34
Evan Moore,36.2,2010,36.2,35
Jermichael Finley,36.1,2010,36.1,36
Randy McMichael,34.1,2010,34.1,37
David Thomas,33.9,2010,33.9,38
Michael Hoomanawanui,32.6,2010,32.6,39
Delanie Walker,30.5,2010,30.5,40
Zach Miller,28.5,2010,28.5,41
Andrew Quarless,27.8,2010,27.8,42
Billy Bajema,26.5,2010,26.5,43
Dante Rosario,25.9,2010,25.9,44
Travis Beckum,23.6,2010,23.6,45
Donald Lee,23.4,2010,23.4,46
Ben Obomanu,22.4,2010,22.4,47
Martellus Bennett,22.3,2010,22.3,48
John Gilmore,22,2010,22,49
Ed Dickson,21.2,2010,21.2,50
Leonard Pope,19.8,2010,19.8,51
Alge Crumpler,17.2,2010,17.2,52
Chris Baker,16.8,2010,16.8,53
Jeff King,16.5,2010,16.5,54
Craig Stevens,15.3,2010,15.3,55
Daniel Graham,14.8,2010,14.8,56
Jim Kleinsasser,14.8,2010,14.8,57
Justin Peelle,14.5,2010,14.5,58
Matt Spaeth,14,2010,14,59
Clay Harbor,13.2,2010,13.2,60
Ben Patrick,12.3,2010,12.3,61
Robert Royal,11.6,2010,11.6,62
Cameron Morrah,11.1,2010,11.1,63
Jonathan Stupar,11.1,2010,11.1,64
David Martin,10.3,2010,10.3,65
James Casey,9.8,2010,9.8,66
Will Heller,9.7,2010,9.7,67
Michael Palmer,8.9,2010,8.9,68
Brandon Myers,8,2010,8,69
Kellen Davis,7.9,2010,7.9,70
Roscoe Parrish,7.9,2010,7.9,71
Gijon Robinson,7.2,2010,7.2,72
Logan Paulsen,7,2010,7,73
Khalif Barnes,6.2,2010,6.2,74
Tom Crabtree,6.1,2010,6.1,75
Dan Gronkowski,5.6,2010,5.6,76
Kory Sperry,5.2,2010,5.2,77
Jim Dray,4.7,2010,4.7,78
Jerramy Stevens,4.3,2010,4.3,79
Reggie Kelly,4.2,2010,4.2,80
