name,value,year,lastValue,rank
Ray Flaherty,350,1932,350,1
Luke Johnsos,321,1932,321,2
Harry Ebding,171,1932,171,3
Red Grange,168,1932,168,4
Johnny Blood,168,1932,168,5
George Corbett,164,1932,164,6
Roger Grove,149,1932,149,7
Hank Bruder,143,1932,143,8
Chuck Kassel,141,1932,141,9
Chris Cagle,135,1932,135,10
Carl Brumbaugh,129,1932,129,11
Jack Grossman,129,1932,129,12
Dale Burnett,125,1932,125,13
Paul Riblett,110,1932,110,14
Dutch Clark,107,1932,107,15
Red Badgro,106,1932,106,16
Bill McKalip,105,1932,105,17
Abe Martin,99,1932,99,18
George Rogge,96,1932,96,19
Lavvie Dilweg,83,1932,83,20
Father Lumpkin,80,1932,80,21
Bill Hewitt,77,1932,77,22
Milan Creighton,74,1932,74,23
Ray Novotny,72,1932,72,24
Milt Gantenbein,71,1932,71,25
Grassy Hinton,69,1932,69,26
Bronko Nagurski,67,1932,67,27
Les Maynard,67,1932,67,28
Benny Friedman,67,1932,67,29
Cliff Battles,60,1932,60,30
Bob Campiglio,59,1932,59,31
Stu Clancy,58,1932,58,32
Les Molloy,57,1932,57,33
Ken Strong,56,1932,56,34
Glenn Presnell,54,1932,54,35
Tom Nash,50,1932,50,36
Les Peterson,49,1932,49,37
Shipwreck Kelly,49,1932,49,38
Hap Moran,47,1932,47,39
Ollie Sansen,45,1932,45,40
Glenn Campbell,44,1932,44,41
Ernie Pinckert,42,1932,42,42
Ev Rowan,40,1932,40,43
Doc Ledbetter,37,1932,37,44
Bernie Finn,37,1932,37,45
Honolulu Hughes,35,1932,35,46
Lee Woodruff,35,1932,35,47
Verne Lewellen,33,1932,33,48
Wuert Engelmann,33,1932,33,49
Johnny Sisk,32,1932,32,50
Buster Mitchell,31,1932,31,51
Ossie Wiberg,29,1932,29,52
Irv Hill,28,1932,28,53
Paul Fitzgibbon,25,1932,25,54
Stumpy Thomason,25,1932,25,55
Algy Clark,25,1932,25,56
Butch Simas,23,1932,23,57
Al Rose,20,1932,20,58
Otto Vokaty,20,1932,20,59
Keith Molesworth,19,1932,19,60
Frank McNeil,18,1932,18,61
Art Koeninger,17,1932,17,62
Gene Alford,15,1932,15,63
Jake Williams,15,1932,15,64
Tiny Feather,15,1932,15,65
Bo Molenda,15,1932,15,66
Bill Raffel,15,1932,15,67
Reggie Rust,12,1932,12,68
Bud Toscani,12,1932,12,69
Al Teeter,11,1932,11,70
Stu Wilson,11,1932,11,71
Dick Frahm,10,1932,10,72
Bruce Jones,10,1932,10,73
Joe Lillard,10,1932,10,74
Tony Holm,9,1932,9,75
Bucky Moore,8,1932,8,76
Paul Collins,7,1932,7,77
Dick Nesbitt,5,1932,5,78
Carmen Scardine,3,1932,3,79
Ray Flaherty,527,1933,350,1
Luke Johnsos,509,1933,321,2
Johnny Blood,383,1933,168,3
Roger Grove,364,1933,149,4
Bill Hewitt,350,1933,77,5
Dale Burnett,337,1933,125,6
