name,value,year,lastValue,rank
Company1,60000,2000,60000,1
Company2,50000,2000,50000,2
Company3,40000,2000,40000,3
Company4,35000,2000,35000,4
Company5,30000,2000,30000,5
Company6,25000,2000,25000,6
Company7,20000,2000,20000,7
Company8,19000,2000,19000,8
Company9,18000,2000,18000,9
Company10,17000,2000,17000,10
Company11,16000,2000,16000,11
Company12,15000,2000,15000,12
Company13,13000,2000,13000,13
Company1,60000,2001,60000,2
Company2,50000,2001,50000,3
Company3,40000,2001,40000,4
Company4,70000,2001,35000,1
Company5,30000,2001,30000,5
Company6,25000,2001,25000,6
Company7,20000,2001,20000,7
Company8,19000,2001,19000,8
Company9,18000,2001,18000,9
Company10,17000,2001,17000,10
Company11,16000,2001,16000,11
Company12,15000,2001,15000,12
Company13,13000,2001,13000,13
