name,value,year,lastValue,rank
E. McMahon,1050,2019,1046,1
P. McBeth,1050,2019,1051,2
R. Wysocki,1046,2019,1045,3
C. Heimburg,1042,2019,1036,4
M. Orum,1042,2019,1040,5
S. Lizotte,1040,2019,1034,6
J. Anthon,1037,2019,1033,7
C. Dickerson,1037,2019,1038,8
N. Sexton,1036,2019,1034,9
J. Conrad,1033,2019,1034,10
S. Paju,1033,2019,1036,11
C. Colglazier,1033,2019,1032,12
C. Leiviska,1033,2019,1032,13
P. Ulibarri,1030,2019,1030,14
S. Withers,1030,2019,#N/A,15
M. Johansen,1030,2019,#N/A,16
K. Crabtree,1030,2019,#N/A,17
K. Jones,1030,2019,1032,18
B. Schultz,1029,2019,#N/A,19
G. Barsby,1029,2019,1028,20
P. McBeth,1051,2018,1052,1
E. McMahon,1046,2018,1031,2
R. Wysocki,1045,2018,1050,3
M. Orum,1040,2018,1030,4
C. Dickerson,1038,2018,1032,5
N. Doss,1038,2018,1039,6
C. Heimburg,1036,2018,#N/A,7
S. Paju,1036,2018,#N/A,8
M. Kajiyama,1035,2018,1035,9
S. Lizotte,1034,2018,1037,10
J. Conrad,1034,2018,1029,11
N. Sexton,1034,2018,1035,12
J. Anthon,1033,2018,1035,13
K. Jones,1032,2018,#N/A,14
C. Colglazier,1032,2018,#N/A,15
C. Leiviska,1032,2018,1036,16
P. Ulibarri,1030,2018,#N/A,17
D. Nodland,1029,2018,#N/A,18
A. Fish,1029,2018,#N/A,19
G. Barsby,1028,2018,#N/A,20
P. McBeth,1052,2017,1051,1
R. Wysocki,1050,2017,1049,2
N. Doss,1039,2017,1028,3
S. Lizotte,1037,2017,1028,4
C. Leiviska,1036,2017,1027,5
N. Sexton,1035,2017,1034,6
J. Anthon,1035,2017,#N/A,7
M. Kajiyama,1035,2017,1029,8
C. Dickerson,1032,2017,1025,9
M. Johansen,1032,2017,#N/A,10
E. McMahon,1031,2017,1025,11
M. Orum,1030,2017,1025,12
C. Dietrich,1030,2017,#N/A,13
J. Conrad,1029,2017,#N/A,14
K. Nybo,1028,2017,1033,15
A. Geisinger,1028,2017,#N/A,16
S. Withers,1027,2017,#N/A,17
J. Koling,1026,2017,1024,18
S. Brinster,1026,2017,#N/A,19
B. Schultz,1026,2017,1034,20
P. McBeth,1051,2016,1053,1
R. Wysocki,1049,2016,1043,2
N. Sexton,1034,2016,1027,3
B. Schultz,1034,2016,1025,4
K. Nybo,1033,2016,1023,5
K. Crabtree,1032,2016,#N/A,6
D. Feldberg,1031,2016,1030,7
C. Colglazier,1030,2016,1030,8
S. Miller,1030,2016,#N/A,9
N. Locastro,1029,2016,1036,10
M. Kajiyama,1029,2016,#N/A,11
S. Lizotte,1028,2016,1026,12
N. Doss,1028,2016,1032,13
C. Leiviska,1027,2016,#N/A,14
B. Williams,1026,2016,#N/A,15
E. McMahon,1025,2016,#N/A,16
M. Orum,1025,2016,#N/A,17
C. Dickerson,1025,2016,#N/A,18
J. Koling,1024,2016,#N/A,19
K. Climo,1024,2016,1026,20
P. McBeth,1053,2015,1046,1
R. Wysocki,1043,2015,1042,2
G. Gurthie,1039,2015,#N/A,3
N. Locastro,1036,2015,1033,4
J. Lundmark,1034,2015,1032,5
N. Doss,1032,2015,1037,6
C. Colglazier,1030,2015,1030,7
D. Feldberg,1030,2015,1036,8
W. Schusterick,1027,2015,#N/A,9
N. Sexton,1027,2015,1032,10
S. Lizotte,1026,2015,1036,11
K. Climo,1026,2015,1031,12
M. Johansen,1025,2015,#N/A,13
S. Brinster,1025,2015,1031,14
B. Schultz,1025,2015,1030,15
M. Seaborn,1025,2015,#N/A,16
D. Nodland,1025,2015,1035,17
J. McCray,1024,2015,#N/A,18
S. Rico,1024,2015,1029,19
K. Nybo,1023,2015,1035,20
P. McBeth,1046,2014,1046,1
J. Anthon,1043,2014,#N/A,2
R. Wysocki,1042,2014,1047,3
N. Doss,1037,2014,1041,4
D. Feldberg,1036,2014,1041,5
S. Lizotte,1036,2014,1034,6
K. Nybo,1035,2014,1029,7
D. Nodland,1035,2014,#N/A,8
N. Locastro,1033,2014,1041,9
J. Koling,1032,2014,#N/A,10
N. Sexton,1032,2014,1035,11
B. Musick,1032,2014,#N/A,12
J. Lundmark,1032,2014,#N/A,13
S. Brinster,1031,2014,1032,14
K. Climo,1031,2014,#N/A,15
C. Colglazier,1030,2014,1029,16
B. Schultz,1030,2014,1034,17
J. Rovere,1030,2014,1038,18
C. Leiviska,1029,2014,1032,19
S. Rico,1029,2014,1036,20
R. Wysocki,1047,2013,1041,1
P. McBeth,1046,2013,1040,2
W. Schusterick,1043,2013,1044,3
D. Feldberg,1041,2013,1039,4
N. Doss,1041,2013,1039,5
N. Locastro,1041,2013,1037,6
J. Rovere,1038,2013,#N/A,7
S. Rico,1036,2013,#N/A,8
M. Orum,1035,2013,#N/A,9
N. Sexton,1035,2013,1035,10
J. McCray,1034,2013,1034,11
B. Schultz,1034,2013,#N/A,12
S. Lizotte,1034,2013,#N/A,13
C. Leiviska,1032,2013,1037,14
S. Brinster,1032,2013,1039,15
J. Meresmaa,1032,2013,1036,16
C. Colglazier,1029,2013,#N/A,17
K. Nybo,1029,2013,#N/A,18
D. Owens,1028,2013,#N/A,19
C. Dietrich,1028,2013,#N/A,20
W. Schusterick,1044,2012,1032,1
J. Lundmark,1042,2012,1032,2
R. Wysocki,1041,2012,#N/A,3
P. McBeth,1040,2012,1035,4
D. Feldberg,1039,2012,1041,5
N. Doss,1039,2012,1042,6
S. Brinster,1039,2012,1032,7
K. Climo,1039,2012,1037,8
C. Leiviska,1037,2012,1033,9
N. Locastro,1037,2012,1044,10
J. Meresmaa,1036,2012,1028,11
G. Gurthie,1035,2012,#N/A,12
N. Sexton,1035,2012,#N/A,13
J. McCray,1034,2012,1033,14
M. Kajiyama,1034,2012,#N/A,15
B. Williams,1033,2012,#N/A,16
K. Crabtree,1033,2012,1030,17
M. Källström,1033,2012,1031,18
J. Anthon,1032,2012,1035,19
M. Dorius,1032,2012,1030,20
N. Locastro,1044,2011,1040,1
N. Doss,1042,2011,1036,2
D. Feldberg,1041,2011,1042,3
K. Climo,1037,2011,1039,4
P. McBeth,1035,2011,1029,5
J. Anthon,1035,2011,1036,6
P. Ulibarri,1033,2011,1028,7
C. Leiviska,1033,2011,1027,8
J. McCray,1033,2011,1030,9
W. Schusterick,1032,2011,#N/A,10
S. Brinster,1032,2011,1034,11
J. Lundmark,1032,2011,1035,12
M. Källström,1031,2011,1030,13
K. Crabtree,1030,2011,#N/A,14
S. Rico,1030,2011,1030,15
M. Dorius,1030,2011,#N/A,16
B. Schultz,1028,2011,1029,17
K. Nybo,1028,2011,#N/A,18
M. Johansen,1028,2011,1028,19
J. Meresmaa,1028,2011,1032,20
D. Feldberg,1042,2010,1037,1
N. Locastro,1040,2010,1032,2
K. Climo,1039,2010,1036,3
J. Anthon,1036,2010,1034,4
N. Doss,1036,2010,1033,5
J. Lundmark,1035,2010,1033,6
M. Orum,1034,2010,#N/A,7
S. Brinster,1034,2010,1030,8
B. Musick,1034,2010,1033,9
D. Nodland,1034,2010,1027,10
J. Meresmaa,1032,2010,1030,11
S. Rico,1030,2010,1031,12
J. McCray,1030,2010,1028,13
M. Källström,1030,2010,1035,14
P. McBeth,1029,2010,#N/A,15
B. Schultz,1029,2010,1034,16
P. Ulibarri,1028,2010,#N/A,17
M. Johansen,1028,2010,1027,18
C. Leiviska,1027,2010,1024,19
G. Gurthie,1027,2010,#N/A,20
D. Feldberg,1037,2009,1039,1
K. Climo,1036,2009,1032,2
M. Källström,1035,2009,1034,3
J. Anthon,1034,2009,1029,4
B. Schultz,1034,2009,1031,5
N. Doss,1033,2009,1036,6
B. Musick,1033,2009,#N/A,7
J. Lundmark,1033,2009,1041,8
N. Locastro,1032,2009,1024,9
S. Rico,1031,2009,1030,10
S. Brinster,1030,2009,#N/A,11
J. Meresmaa,1030,2009,1024,12
A. Jenkins,1029,2009,1028,13
J. McCray,1028,2009,1035,14
M. Johansen,1027,2009,#N/A,15
P. Pitts,1027,2009,#N/A,16
D. Nodland,1027,2009,1040,17
G. Barsby,1025,2009,#N/A,18
T. Pursio,1025,2009,1028,19
C. Leiviska,1024,2009,1022,20
J. Lundmark,1041,2008,1032,1
D. Nodland,1040,2008,1031,2
D. Feldberg,1039,2008,1031,3
N. Doss,1036,2008,1030,4
J. McCray,1035,2008,1028,5
M. Källström,1034,2008,1021,6
K. Climo,1032,2008,1038,7
B. Schultz,1031,2008,1030,8
S. Rico,1030,2008,1035,9
J. Anthon,1029,2008,1029,10
E. McCabe,1029,2008,#N/A,11
M. Orum,1028,2008,#N/A,12
A. Jenkins,1028,2008,1026,13
T. Pursio,1028,2008,1022,14
M. Dorius,1027,2008,1020,15
B. Schweberger,1025,2008,1021,16
N. Locastro,1024,2008,#N/A,17
J. Meresmaa,1024,2008,#N/A,18
M. Randolph,1022,2008,#N/A,19
C. Leiviska,1022,2008,1024,20
K. Climo,1038,2007,1041,1
S. Rico,1035,2007,1032,2
J. Lundmark,1032,2007,1030,3
D. Feldberg,1031,2007,1030,4
D. Nodland,1031,2007,1021,5
N. Doss,1030,2007,1029,6
B. Schultz,1030,2007,1038,7
J. Anthon,1029,2007,1032,8
J. McCray,1028,2007,1029,9
A. Jenkins,1026,2007,1030,10
C. Leiviska,1024,2007,#N/A,11
G. Gurthie,1024,2007,#N/A,12
M. Moser,1023,2007,1028,13
C. Hatfield,1022,2007,#N/A,14
T. Pursio,1022,2007,#N/A,15
S. Brinster,1021,2007,#N/A,16
B. Schweberger,1021,2007,1023,17
M. Källström,1021,2007,#N/A,18
M. Dorius,1020,2007,1026,19
M. Johansen,1019,2007,#N/A,20
K. Climo,1041,2006,1037,1
B. Schultz,1038,2006,1032,2
J. Anthon,1032,2006,#N/A,3
S. Rico,1032,2006,1033,4
D. Feldberg,1030,2006,1028,5
A. Jenkins,1030,2006,#N/A,6
J. Lundmark,1030,2006,1033,7
N. Doss,1029,2006,1027,8
J. McCray,1029,2006,1023,9
M. Moser,1028,2006,#N/A,10
M. Dorius,1026,2006,#N/A,11
W. Haney,1025,2006,#N/A,12
M. Orum,1024,2006,1020,13
D. Tannock,1024,2006,1025,14
B. Schweberger,1023,2006,1020,15
C. Sandström,1023,2006,#N/A,16
A. Swärd,1023,2006,#N/A,17
N. Grider,1021,2006,#N/A,18
D. Nodland,1021,2006,1021,19
B. Hammock,1021,2006,1024,20
K. Climo,1037,2005,1033,1
S. Rico,1033,2005,1025,2
J. Lundmark,1033,2005,1030,3
B. Schultz,1032,2005,1036,4
M. Källström,1031,2005,1018,5
D. Feldberg,1028,2005,#N/A,6
B. Musick,1027,2005,1022,7
D. Holtan,1027,2005,#N/A,8
C. Todd,1027,2005,1026,9
N. Doss,1027,2005,#N/A,10
D. Tannock,1025,2005,#N/A,11
J. Malton,1025,2005,#N/A,12
B. Hammock,1024,2005,1022,13
J. McCray,1023,2005,1023,14
J. Light,1022,2005,#N/A,15
D. Nodland,1021,2005,1019,16
T. Pursio,1021,2005,#N/A,17
M. Johansen,1020,2005,#N/A,18
M. Orum,1020,2005,#N/A,19
B. Schweberger,1020,2005,1017,20
B. Schultz,1036,2004,1039,1
K. Climo,1033,2004,1036,2
J. Lundmark,1030,2004,1020,3
C. Todd,1026,2004,1023,4
M. Randolph,1025,2004,1018,5
S. Rico,1025,2004,1031,6
J. McCray,1023,2004,1018,7
M. Dorius,1023,2004,1024,8
B. Musick,1022,2004,1018,9
B. Hammock,1022,2004,1019,10
S. Martin,1020,2004,1016,11
S. Brinster,1019,2004,#N/A,12
D. Nodland,1019,2004,#N/A,13
K. Warren,1019,2004,#N/A,14
A. Wield,1019,2004,#N/A,15
W. Haney,1018,2004,1023,16
M. Källström,1018,2004,1020,17
B. Schweberger,1017,2004,1018,18
R. Russell,1017,2004,1025,19
E. Tracy,1016,2004,#N/A,20
B. Schultz,1039,2003,1030,1
K. Climo,1036,2003,1044,2
S. Rico,1031,2003,1033,3
R. Russell,1025,2003,1032,4
M. Dorius,1024,2003,1021,5
C. Todd,1023,2003,1025,6
W. Haney,1023,2003,1023,7
K. Jarvis,1021,2003,#N/A,8
J. Anthon,1020,2003,#N/A,9
J. Lundmark,1020,2003,1019,10
M. Källström,1020,2003,#N/A,11
B. Hammock,1019,2003,#N/A,12
T. Pursio,1019,2003,#N/A,13
B. Musick,1018,2003,1025,14
B. Schweberger,1018,2003,1026,15
M. Randolph,1018,2003,1021,16
J. McCray,1018,2003,#N/A,17
S. Martin,1016,2003,1026,18
M. Moser,1016,2003,1019,19
S. McDaniel,1016,2003,#N/A,20
K. Climo,1044,2002,1031,1
S. Rico,1033,2002,1019,2
R. Russell,1032,2002,1022,3
B. Schultz,1030,2002,1023,4
B. Schweberger,1026,2002,#N/A,5
S. Martin,1026,2002,1018,6
B. Musick,1025,2002,#N/A,7
C. Todd,1025,2002,1022,8
W. Haney,1023,2002,#N/A,9
L. Leonard,1023,2002,1018,10
E. Tracy,1021,2002,1025,11
M. Randolph,1021,2002,#N/A,12
G. Lissaman,1021,2002,1023,13
M. Dorius,1021,2002,#N/A,14
M. Collicott,1020,2002,#N/A,15
D. Feldberg,1019,2002,#N/A,16
M. Moser,1019,2002,#N/A,17
J. Lundmark,1019,2002,1018,18
S. Sinclair,1018,2002,#N/A,19
S. Brinster,1018,2002,#N/A,20
K. Climo,1031,2001,1035,1
E. Tracy,1025,2001,#N/A,2
D. Nodland,1025,2001,#N/A,3
B. Schultz,1023,2001,1021,4
A. Schack,1023,2001,1013,5
G. Lissaman,1023,2001,1024,6
S. McDaniel,1023,2001,1006,7
C. Todd,1022,2001,1018,8
R. Russell,1022,2001,1020,9
C. Gangloff,1020,2001,#N/A,10
S. Rico,1019,2001,#N/A,11
D. Greenwell,1019,2001,#N/A,12
K. Jarvis,1018,2001,#N/A,13
S. Martin,1018,2001,1005,14
L. Leonard,1018,2001,1015,15
J. Lundmark,1018,2001,1016,16
J. Oates,1017,2001,1010,17
D. Voakes,1016,2001,#N/A,18
J. McCray,1015,2001,1005,19
M. Young,1014,2001,#N/A,20
K. Climo,1035,2000,1033,1
G. Lissaman,1024,2000,1016,2
B. Schultz,1021,2000,1023,3
R. Russell,1020,2000,1020,4
S. Stokely,1020,2000,1019,5
C. Todd,1018,2000,#N/A,6
M. Randolph,1018,2000,#N/A,7
J. Lundmark,1016,2000,1008,8
L. Leonard,1015,2000,1011,9
A. Schack,1013,2000,1005,10
M. Moser,1011,2000,1012,11
P. Arthur,1011,2000,#N/A,12
J. Oates,1010,2000,1007,13
M. Collicott,1008,2000,1009,14
W. Haney,1007,2000,#N/A,15
C. Howard,1007,2000,#N/A,16
J. Lissaman,1007,2000,1003,17
S. McDaniel,1006,2000,1008,18
J. McCray,1005,2000,#N/A,19
S. Martin,1005,2000,1012,20
K. Climo,1033,1999,1032,1
B. Schultz,1023,1999,1012,2
R. Russell,1020,1999,1013,3
S. Stokely,1019,1999,1017,4
G. Lissaman,1016,1999,1016,5
S. Martin,1012,1999,1006,6
M. Moser,1012,1999,1011,7
L. Leonard,1011,1999,1005,8
M. Collicott,1009,1999,1017,9
J. Lundmark,1008,1999,#N/A,10
S. McDaniel,1008,1999,1003,11
S. Rico,1007,1999,1001,12
J. Oates,1007,1999,#N/A,13
D. Cordle,1006,1999,#N/A,14
A. Schack,1005,1999,1000,15
D. Voakes,1005,1999,1012,16
J. Mela,1005,1999,#N/A,17
J. Lissaman,1003,1999,#N/A,18
B. Rico,1002,1999,#N/A,19
C. Gangloff,1002,1999,#N/A,20
K. Climo,1032,1998,1032,1
S. Stokely,1017,1998,1017,2
M. Collicott,1017,1998,1017,3
G. Lissaman,1016,1998,1016,4
M. Randolph,1014,1998,1014,5
